lng,lat,maydoni,narxi
69.309876,41.244975,59.0,24000.0
69.3099734,41.273215,58.333333333333336,35100.0
69.3101022,41.3693331,75.59,43750.0
69.3101029,41.3667092,77.44444444444444,57055.555555555555
69.3102822,41.3163874,69.0,33000.0
69.3104029,41.3665268,45.0,39500.0
69.31065,41.2448439,56.0,28100.0
69.3108478,41.2508242,59.2,36079.8
69.3112245,41.382776,109.0,49000.0
69.3122292,41.3222503,65.0,55000.0
69.3135716,41.3224313,60.0,58000.0
69.3139155,41.2671043,54.806,32600.0
69.3139762,41.3025378,78.0,45750.0
69.3139918,41.2447097,43.0,20800.0
69.3153147,41.2745798,29.7,20500.0
69.3155672,41.309332,53.333333333333336,33366.666666666664
69.3159192,41.3123276,88.3529411764706,55970.58823529412
69.3160626,41.2475877,54.5,33100.0
69.3160626,41.3750315,76.256,46825.0
69.3160808,41.2960584,153.11111111111111,133111.11111111112
69.3186235,41.3183996,70.0,56000.0
69.3190425,41.3707855,62.0,42796.2962962963
69.319348,41.320031,35.0,24500.0
69.3200203,41.3196379,88.03166666666667,72500.0
69.3216088,41.2942588,112.5,69000.0
69.3217229,41.3245987,60.0,42000.0
69.321861,41.3208443,30.0,30000.0
69.3227629,41.3043723,74.0,59500.0
69.3228615,41.3146381,81.1745238095238,62294.04761904762
69.3230626,41.3215876,53.41935483870968,38064.3870967742
69.3234929,41.31512,88.06625,60831.25
69.3235123,41.286283,66.0701754385965,43829.491228070176
69.3235746,41.3133669,92.45341463414634,71705.9268292683
69.3239168,41.3245562,36.5,23624.75
69.324458,41.3317732,67.25,45097.5
69.3246067,41.3284788,62.0,51498.0
69.3246635,41.319567,46.714285714285715,32290.380952380954
69.3250022,41.3118164,85.0,54833.333333333336
69.3252798,41.333139,44.4,30600.2
69.3259097,41.3267921,70.0,61000.0
69.326185,41.324026,67.77777777777777,52587.77777777778
69.3273749,41.319256,115.0,115000.0
69.327542,41.3261864,65.75,56375.0
69.3276565,41.2425407,140.0,58000.0
69.3279791,41.3169199,102.83333333333333,82583.33333333333
69.3284448,41.2498176,50.0,24000.0
69.3285142,41.3112105,86.0,89000.0
69.3286094,41.3332552,80.0,50500.0
